Year,Country,Country Code,"Life expectancy at birth, total (years)",Electric power consumption (kWh per capita),Gross capital formation (% of GDP),Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Primary completion rate, total (% of relevant age group)","School enrollment, preprimary (% gross)",Income share held by lowest 20%,GDP growth (annual %),Imports of goods and services (% of GDP),High-technology exports (% of manufactured exports),Domestic credit provided by financial sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Mobile cellular subscriptions (per 100 people),Energy use (kg of oil equivalent per capita)
2010,Argentina,ARG,75.68,2777.733779,17.70553381,18.93382341,..,103.3133648,68.89225006,4.5,10.12539816,16.03718986,7.68411002,25.33231865,2.675161719,138.252,1826.051124
2010,Australia,AUS,81.69512195,10797.87125,26.784337,19.79626197,..,..,78.5485611,7.3,2.219980265,20.72532703,16.51330126,..,3.094839434,101.619,5762.943566
2010,Brazil,BRA,73.779,2398.608018,21.80132156,10.86558478,..,..,..,..,7.528225818,11.90659334,12.59014687,..,3.730012884,101.667,1384.368967
2010,China,CHN,75.668,2943.589954,46.10234433,26.72274515,17.2,103.4552569,53.66677856,5.1,10.59627198,23.13132708,32.15011697,..,3.935419967,63.5563,1899.799961
2010,France,FRA,81.66341463,7737.802838,21.3378695,27.82648809,..,..,105.9191666,7.7,2.00032476,28.76106716,26.32338001,..,1.46961673,91.1186,4040.439187
2010,Germany,DEU,79.98780488,7265.99788,19.55566768,39.48326873,..,101.3656082,..,8.6,4.14676755,34.37937203,16.88968553,..,2.480786424,109.364,4029.830858
2010,India,IND,67.162,629.8959491,39.78562418,22.40093325,..,..,..,..,8.497584702,26.85427325,7.730160328,..,1.635034094,60.4906,531.8670661
2010,Indonesia,IDN,68.364,653.9566368,32.88012145,24.29903094,13.3,101.7950423,41.4427681,8.1,6.223854181,22.40224294,12.31181455,34.18243851,2.025179146,85.7839,669.1120789
2010,Italy,ITA,82.03658537,5443.935611,20.79697161,24.91865142,19.8,101.4821014,99.74497223,6.4,1.529105732,26.74346039,8.016201761,..,0.462974197,155.684,2904.35856
2010,Japan,JPN,82.84268293,8774.279691,22.59030413,14.91850345,..,..,..,7.5,4.097917919,13.57996924,19.12268728,311.7303878,0.12920449,96.1789,3900.212128
2010,"Korea, Rep.",KOR,80.11707317,9223.089297,32.55211358,47.10373691,..,101.4542923,..,7.4,6.804824918,44.29585958,32.13439748,..,0.830430228,104.097,4920.341595
2010,Mexico,MEX,73.718,2027.161628,23.33148941,29.01746012,..,100.0508118,101.6777115,4.6,4.971334578,30.25592442,22.13579317,41.76454673,2.762237203,80.4263,1581.826225
2010,Netherlands,NLD,80.70243902,7006.273821,20.03710604,69.28736497,..,..,..,9,1.319320323,60.79434296,27.86499643,..,6.477241703,114.357,4978.869388
2010,Russian Federation,RUS,68.84121951,6409.894365,22.61505055,29.21556078,12.5,..,..,6.4,4.499999999,21.1399447,9.423242376,..,2.830828698,165.137,4853.36753
2010,Saudi Arabia,SAU,75.616,9119.883169,30.92623202,49.56971453,..,..,11.50934982,..,5.039515082,32.9799705,0.750807775,..,0.923670092,204.969,7965.261219
2010,Spain,ESP,81.62682927,5706.563063,22.39884138,25.82781334,20.6,99.19822693,..,6.3,0.094122312,26.86555663,6.558198312,..,2.518858256,109.712,2735.182573
2010,Switzerland,CHE,82.24634146,8174.535959,25.89555924,64.83762827,15,97.01891327,99.01123047,7.8,3.243397157,55.22749551,25.80901187,..,2.950773194,123.236,3323.412185
